english_word,word_class,malayalam_translation,transliteration,verb_transitivity,level
downstairs (location),adverb,താഴെ / താഴത്തെ നിലയിൽ,tāḻe / tāḻatte nilayil,,a1
dress (clothing),noun,വസ്ത്രം / ഉടുപ്പ്,vastraṁ / uṭupp,,a1
"dress (clothing, attire)",noun,വസ്ത്രം / ഉടുപ്പ് / വേഷം,vastraṁ / uṭupp / vēṣaṁ,,a1
dress (frock or gown),noun,ഡ്രസ്സ് / ഉടുപ്പ് / ഗൗൺ,ḍrass / uṭupp / gauṇ,,a1
dress (frock),noun,ഡ്രസ്സ് / ഉടുപ്പ്,ḍrass / uṭupp,,a1
drink (alcoholic beverage),noun,മദ്യം / പാനീയം,madyaṁ / pānīyaṁ,,a1
"driver (operator of vehicle, colloquial)",noun,ഡ്രൈവർ / വണ്ടിക്കാരൻ,ḍraivar / vaṇṭikkāran,,a1
"driver (operator of vehicle, formal)",noun,ഡ്രൈവർ / സാരഥി / വാഹനമോടിക്കുന്നയാൾ,ḍraivar / sārathi / vāhanamōṭikkunnayāḷ,,a1
during (the period of time),preposition,സമയത്ത് / കാലത്ത് / ഇടയിൽ,samayatt / kālatt / iṭayil,,a1
dvd,noun,ഡിവിഡി,ḍiviḍi,,a1
"each (as a determiner, e.g., each day)",determiner,ഓരോ,ōrō,,a1
"each (each one, individually)",adverb,ഓരോന്നായി,ōrōnnāyi,,a1
"each (each one, individually, for people)",pronoun,ഓരോരുത്തരും,ōrōruttaruṁ,,a1
each (one per person/item),pronoun,ഓരോന്നിനും,ōrōnninuṁ,,a1
each (per unit),pronoun,ഒന്നിന് / ഓരോന്നിനും,onnin / ōrōnninuṁ,,a1
each (per unit/for each one),determiner,ഓരോ / ഓരോന്നിനും,ōrō / ōrōnninuṁ,,a1
ear,noun,ചെവി / കർണ്ണം,cevi / karṇṇaṁ,,a1
early,adverb,നേരത്തെ,nēratte,,a1
"early (historical, primitive)",adjective,ആദ്യകാലത്തെ / പ്രാചീനമായ,ādyakālatte / prācīnamāya,,a1
early (initial or primitive),adjective,ആദ്യകാലത്തെ / പ്രാഥമികമായ,ādyakālatte / prāthamikamāya,,a1
early morning,noun,അതിരാവിലെ / പ്രഭാതം / പുലർച്ചെ,atirāvile / prabhātaṁ / pularcce,,a1
east,noun,കിഴക്ക് / പൂർവ്വം,kiḻakk / pūrvvaṁ,,a1
"east (adverbially, towards)",adverb,കിഴക്കോട്ട്,kiḻakkōṭṭ,,a1
east (eastern),adjective,കിഴക്കൻ / പൂർവ്വദേശീയമായ,kiḻakkan / pūrvvadēśīyamāya,,a1
east (moving toward the direction),adverb,കിഴക്കോട്ട്,kiḻakkōṭṭ,,a1
east (the direction),adverb,കിഴക്ക്,kiḻakk,,a1
"east (the direction, adj.)",adjective,കിഴക്കൻ,kiḻakkan,,a1
"east (the direction, noun)",noun,കിഴക്ക് / പൂർവ്വം,kiḻakk / pūrvvaṁ,,a1
eastern,adjective,കിഴക്കൻ / പൗരസ്ത്യമായ,kiḻakkan / paurastyamāya,,a1
easy (simple or straightforward nature),adjective,എളുപ്പമുള്ള / ലളിതമായ / സുഗമമായ,eḷuppamuḷḷa / laḷitamāya / sugamamāya,,a1
easy (simple or straightforward),adjective,എളുപ്പമുള്ള / ലളിതമായ / സുഗമമായ,eḷuppamuḷḷa / laḷitamāya / sugamamāya,,a1
eatery (simple dining place),noun,ഭക്ഷണശാല / ഹോട്ടൽ / ചായക്കട,bhakṣaṇaśāla / hōṭṭal / cāyakkaṭa,,a1
egg,noun,മുട്ട,muṭṭa,,a1
eight,number,എട്ട്,eṭṭ,,a1
eighteen,number,പതിനെട്ട്,patineṭṭ,,a1
eighty,number,എൺപത്,eṇpat,,a1
elephant,noun,ആന / ഗജം,āna / gajaṁ,,a1
eleven,number,പതിനൊന്ന്,patinonn,,a1
else (other or additional),adverb,വേറെ / മറ്റെന്തെങ്കിലും,vēṟe / maṟṟenteṅkiluṁ,,a1
else (otherwise),adverb,അല്ലെങ്കിൽ,alleṅkil,,a1
"end (conclusion, finish)",noun,അവസാനം / സമാപനം,avasānaṁ / samāpanaṁ,,a1
"end (physical extremity, tip)",noun,അറ്റം / തലപ്പ് / അഗ്രം,aṟṟaṁ / talapp / agraṁ,,a1
enough,adverb,മതിയായി / ആവശ്യത്തിന്,matiyāyi / āvaśyattin,,a1
enough (a sufficient quantity),pronoun,ആവശ്യത്തിന് / മതിയായത്,āvaśyattin / matiyāyat,,a1
"enough (stop, that is sufficient)",pronoun,മതി!,mati!,,a1
"enough! (stop, that's sufficient)",determiner,മതി!,mati!,,a1
euro,noun,യൂറോ,yūṟō,,a1
"even (more, better)",adverb,കൂടുതൽ / ഇതിലും,kūṭutal / itiluṁ,,a1
even (unexpectedly),adverb,പോലും / അപ്രതീക്ഷിതമായി,pōluṁ / apratīkṣitamāyi,,a1
"evening (common, colloquial)",noun,വൈകുന്നേരം,vaikunnēraṁ,,a1
"evening (formal, dusk)",noun,സന്ധ്യ / പ്രദോഷം,sandhya / pradōṣaṁ,,a1
event (happening),noun,സംഭവം,saṁbhavaṁ,,a1
event (planned function),noun,പരിപാടി / ചടങ്ങ്,paripāṭi / caṭaṅṅ,,a1
ever (always),adverb,എപ്പോഴും / സദാ,eppōḻuṁ / sadā,,a1
ever (at any time),adverb,എപ്പോഴെങ്കിലും,eppōḻeṅkiluṁ,,a1
every,determiner,ഓരോ / എല്ലാ,ōrō / ellā,,a1
everybody,pronoun,എല്ലാവരും,ellāvaruṁ,,a1
everyone,pronoun,എല്ലാവരും,ellāvaruṁ,,a1
"everything (colloquial, spoken)",pronoun,എല്ലാം,ellāṁ,,a1
"everything (standard, complete)",pronoun,എല്ലാം / സകലതും,ellāṁ / sakalatuṁ,,a1
"exam (test, quiz)",noun,പരീക്ഷ / ടെസ്റ്റ്,parīkṣa / ṭesṟṟ,,a1
"example (instance, illustration)",noun,ഉദാഹരണം / ദൃഷ്ടാന്തം,udāharaṇaṁ / dr̥ṣṭāntaṁ,,a1
"example (model, pattern)",noun,മാതൃക / ഉദാഹരണം,mātr̥ka / udāharaṇaṁ,,a1
excited (eagerly anticipating),adjective,ആകാംഷയുള്ള / ആവേശഭരിതമായ,ākāṁṣayuḷḷa / āvēśabharitamāya,,a1
"exciting (interesting, inspiring)",adjective,ആവേശകരമായ / പ്രചോദനം നൽകുന്ന,āvēśakaramāya / pracōdanaṁ nalkunna,,a1
"exciting (thrilling, adventurous)",adjective,ആവേശകരമായ / ഉദ്വേഗജനകമായ,āvēśakaramāya / udvēgajanakamāya,,a1
exercise (physical activity),noun,വ്യായാമം / കായികാഭ്യാസം,vyāyāmaṁ / kāyikābhyāsaṁ,,a1
exercise (practice problem),noun,അഭ്യാസം / പരിശീലനം,abhyāsaṁ / pariśīlanaṁ,,a1
expensive,adjective,വിലകൂടിയ / ചെലവേറിയ,vilakūṭiya / celavēṟiya,,a1
extra,adjective,അധികം / കൂടുതൽ / എക്സ്ട്രാ,adhikaṁ / kūṭutal / eksṭrā,,a1
eye,noun,കണ്ണ് / നേത്രം,kaṇṇ / nētraṁ,,a1
fact,noun,വസ്തുത / യാഥാർത്ഥ്യം,vastuta / yāthārtthyaṁ,,a1
false (not true),adjective,തെറ്റായ / വ്യാജമായ / കള്ളമായ,teṟṟāya / vyājamāya / kaḷḷamāya,,a1
family,noun,കുടുംബം / തറവാട്,kuṭuṁbaṁ / taṟavāṭ,,a1
fantastic (excellent),adjective,മികച്ച / ഗംഭീരമായ / കേമം / അതിഗംഭീരമായ,mikacca / gaṁbhīramāya / kēmaṁ / atigaṁbhīramāya,,a1
far (extent or degree),adverb,ദൂരെ / അകലെ / വളരെ,dūre / akale / vaḷare,,a1
farm,noun,കൃഷിത്തോട്ടം / കൃഷിസ്ഥലം / ഫാം,kr̥ṣittōṭṭaṁ / kr̥ṣisthalaṁ / phāṁ,,a1
farmer,noun,കർഷകൻ / കൃഷിക്കാരൻ,karṣakan / kr̥ṣikkāran,,a1
farmer (formal),noun,കർഷകൻ / കൃഷിക്കാരൻ,karṣakan / kr̥ṣikkāran,,a1
fast (securely fixed),adjective,ഉറപ്പുള്ള / ദൃഢമായ / മുറുക്കിയ,uṟappuḷḷa / dr̥ḍhamāya / muṟukkiya,,a1
"fast (speedy, rapid)",adverb,വേഗത്തിൽ / അതിവേഗം,vēgattil / ativēgaṁ,,a1
father (colloquial),noun,അച്ഛൻ / അപ്പാ / വാപ്പ,acchan / appā / vāppa,,a1
father (formal),noun,പിതാവ് / ജനകൻ,pitāv / janakan,,a1
"father (formal, biological)",noun,പിതാവ് / ജനകൻ,pitāv / janakan,,a1
favourite,noun,ഇഷ്ടപ്പെട്ടത് / പ്രിയപ്പെട്ടത്,iṣṭappeṭṭat / priyappeṭṭat,,a1
february,noun,ഫെബ്രുവരി,phebruvari,,a1
feeding,noun,ഭക്ഷണം നൽകൽ / തീറ്റ / പോഷണം,bhakṣaṇaṁ nalkal / tīṟṟa / pōṣaṇaṁ,,a1
"feeling (emotion, sentiment)",noun,വികാരം / തോന്നൽ / അനുഭവം,vikāraṁ / tōnnal / anubhavaṁ,,a1
feeling (physical sensation),noun,സ്പർശനം / തോന്നൽ / അനുഭവം,sparśanaṁ / tōnnal / anubhavaṁ,,a1
few,determiner,കുറച്ച് / ചുരുക്കം,kuṟacc / curukkaṁ,,a1
"few (a small number, 'a few')",pronoun,കുറച്ചെണ്ണം / ചുരുക്കം ചിലത്,kuṟacceṇṇaṁ / curukkaṁ cilat,,a1
"few (negative, scarcity)",adjective,കുറഞ്ഞ / ചുരുങ്ങിയ,kuṟañña / curuṅṅiya,,a1
fifteen,number,പതിനഞ്ച്,patinañc,,a1
fifth,ordinal number,അഞ്ചാമത്തെ,añcāmatte,,a1
fifty,number,അമ്പത്,ampat,,a1
film (movie),noun,സിനിമ / ചലച്ചിത്രം / ചിത്രം,sinima / calaccitraṁ / citraṁ,,a1
film (thin layer),noun,പാളി / നേരിയ ആവരണം,pāḷi / nēriya āvaraṇaṁ,,a1
"final (exam, match)",adjective,അവസാനത്തെ / അന്തിമമായ,avasānatte / antimamāya,,a1
"fine (thin, granular)",adjective,നേരിയ / സൂക്ഷ്മമായ / പൊടിഞ്ഞ,nēriya / sūkṣmamāya / poṭiñña,,a1
fire,noun,തീ / അഗ്നി,tī / agni,,a1
"first (at first, initially)",adverb,ആദ്യം / പ്രാരംഭത്തിൽ,ādyaṁ / prāraṁbhattil,,a1
"first (initially, at the start)",adverb,ആദ്യം / തുടക്കത്തിൽ,ādyaṁ / tuṭakkattil,,a1
"first (initially, before starting)",determiner,ആദ്യത്തെ,ādyatte,,a1
first (ordinal number),determiner,ഒന്നാമത്തെ,onnāmatte,,a1
fish,noun,മീൻ / മത്സ്യം,mīn / matsyaṁ,,a1
flat,noun,നിരപ്പ്,nirapp,,a1
flat (apartment),noun,ഫ്ലാറ്റ് / അപ്പാർട്ട്മെന്റ്,phlāṟṟ / appārṭṭmenṟ,,a1
flight (act of flying),noun,പറക്കൽ / വ്യോമയാനം,paṟakkal / vyōmayānaṁ,,a1
flight (airplane journey),noun,ഫ്ലൈറ്റ് / വിമാനയാത്ര,phlaiṟṟ / vimānayātra,,a1
floor (story of a building),noun,നില / ഫ്ലോർ,nila / phlōr,,a1
floor (surface of a room),noun,തറ / ഫ്ലോർ,taṟa / phlōr,,a1
flower,noun,പൂവ് / പുഷ്പം,pūv / puṣpaṁ,,a1
"food (meal, main course)",noun,ഭക്ഷണം / ആഹാരം,bhakṣaṇaṁ / āhāraṁ,,a1
food (sustenance),noun,ആഹാരം / ഭക്ഷണം,āhāraṁ / bhakṣaṇaṁ,,a1
foot (base of object),noun,അടിഭാഗം / പാദം / ചുവട്,aṭibhāgaṁ / pādaṁ / cuvaṭ,,a1
football,noun,ഫുട്ബോൾ,phuṭbōḷ,,a1
"for (cost, exchange)",preposition,വേണ്ടി / ആയി,vēṇṭi / āyi,,a1
for (duration of time),preposition,ആയി,āyi,,a1
"for (purpose, recipient)",preposition,വേണ്ടി,vēṇṭi,,a1
"forest (general, jungle)",noun,കാട് / വനം,kāṭ / vanaṁ,,a1
form (document),noun,ഫോം,phōṁ,,a1
"form (physical structure, appearance)",noun,രൂപം / ആകൃതി,rūpaṁ / ākr̥ti,,a1
form (shape),noun,ആകൃതി / രൂപം,ākr̥ti / rūpaṁ,,a1
forty,number,നാല്പത്,nālpat,,a1
four,number,നാല്,nāl,,a1
fourteen,number,പതിനാല്,patināl,,a1
free (not costing money),adjective,സൗജന്യമായ / ചെലവില്ലാത്ത,saujanyamāya / celavillātta,,a1
"free (unconstrained, independent)",adjective,സ്വതന്ത്രമായ / മുക്തമായ,svatantramāya / muktamāya,,a1
"fresh (new, not stale)",adjective,പുതിയ / ശുദ്ധമായ / പുതുമയുള്ള,putiya / śuddhamāya / putumayuḷḷa,,a1
friday,noun,വെള്ളിയാഴ്ച / വെള്ളി,veḷḷiyāḻca / veḷḷi,,a1
fridge,noun,ഫ്രിഡ്ജ് / റഫ്രിജറേറ്റർ,phriḍj / ṟaphrijaṟēṟṟar,,a1
friend (female),noun,കൂട്ടുകാരി / തോഴി / സഖി,kūṭṭukāri / tōḻi / sakhi,,a1
"friend (formal, neutral)",noun,സുഹൃത്ത് / മിത്രം,suhr̥tt / mitraṁ,,a1
friend (male),noun,കൂട്ടുകാരൻ / സ്നേഹിതൻ,kūṭṭukāran / snēhitan,,a1
friendly,adjective,സൗഹൃദപരമായ / സ്നേഹമുള്ള,sauhr̥daparamāya / snēhamuḷḷa,,a1
from,preposition,നിന്ന് / നിന്നും,ninn / ninnuṁ,,a1
front,noun,മുൻഭാഗം / മുൻവശം,munbhāgaṁ / munvaśaṁ,,a1
fruit (edible item),noun,പഴം / ഫലം,paḻaṁ / phalaṁ,,a1
"fruit (result, outcome)",noun,ഫലം / പരിണിതഫലം,phalaṁ / pariṇitaphalaṁ,,a1
full (satiated),adjective,വയറുനിറഞ്ഞ / മതിയായ,vayaṟuniṟañña / matiyāya,,a1
"fun (joy, happiness)",noun,സന്തോഷം / വിനോദം,santōṣaṁ / vinōdaṁ,,a1
funny (humorous),adjective,തമാശയുള്ള / രസകരമായ,tamāśayuḷḷa / rasakaramāya,,a1
funny (strange or odd),adjective,വിചിത്രമായ,vicitramāya,,a1
future,noun,ഭാവി,bhāvi,,a1
future (noun),noun,ഭാവി / ഭാവികാലം,bhāvi / bhāvikālaṁ,,a1
"game (activity, match)",noun,കളി / മത്സരം,kaḷi / matsaraṁ,,a1
"game (video, digital)",noun,ഗെയിം / വീഡിയോ ഗെയിം,geyiṁ / vīḍiyō geyiṁ,,a1
garden,noun,പൂന്തോട്ടം / തോട്ടം,pūntōṭṭaṁ / tōṭṭaṁ,,a1
geography,noun,ഭൂമിശാസ്ത്രം,bhūmiśāstraṁ,,a1
"girl (female minor, child)",noun,പെൺകുട്ടി / ബാലിക / കുട്ടി,peṇkuṭṭi / bālika / kuṭṭi,,a1
"girl (female minor, formal, legal)",noun,ബാലിക / പെൺകുട്ടി,bālika / peṇkuṭṭi,,a1
"girlfriend (female friend, platonic)",noun,കൂട്ടുകാരി / സുഹൃത്ത് / പെൺസുഹൃത്ത്,kūṭṭukāri / suhr̥tt / peṇsuhr̥tt,,a1
glass (drinking vessel),noun,ഗ്ലാസ് / പാനപാത്രം,glās / pānapātraṁ,,a1
glass (material),noun,ചില്ല് / സ്ഫടികം,cill / sphaṭikaṁ,,a1
"good (excellent, high quality)",adjective,നല്ല / മികച്ച / ഉത്തമമായ,nalla / mikacca / uttamamāya,,a1
"good (nice, pleasant)",adjective,നല്ല / സുഖകരമായ / മനോഹരമായ,nalla / sukhakaramāya / manōharamāya,,a1
"goodbye (general, polite or formal)",exclamation,വിട / പോയിവരാം / നമസ്കാരം,viṭa / pōyivarāṁ / namaskāraṁ,,a1
goodbye (polite departure phrase),noun,വിടവാങ്ങൽ / യാത്രയയപ്പ്,viṭavāṅṅal / yātrayayapp,,a1
goodbye (when the speaker is leaving temporarily),exclamation,പോയിവരാം / ഉടൻ കാണാം,pōyivarāṁ / uṭan kāṇāṁ,,a1
grandfather (maternal),noun,അപ്പൂപ്പൻ / മുത്തച്ഛൻ,appūppan / muttacchan,,a1
grandfather (paternal),noun,മുത്തച്ഛൻ / അപ്പൂപ്പൻ,muttacchan / appūppan,,a1
grandmother (maternal),noun,അമ്മൂമ്മ / മുത്തശ്ശി,ammūmma / muttaśśi,,a1
grandmother (paternal),noun,മുത്തശ്ശി / അമ്മൂമ്മ,muttaśśi / ammūmma,,a1
"great (excellent, wonderful)",adjective,ഗംഭീരമായ / മികച്ച / അടിപൊളി,gaṁbhīramāya / mikacca / aṭipoḷi,,a1
"great (general approval, good)",adjective,നല്ല / മികച്ച / കൊള്ളാം,nalla / mikacca / koḷḷāṁ,,a1
"great (large, big)",adjective,വലിയ / മഹത്തായ,valiya / mahattāya,,a1
"green (leafy vegetables, produce)",noun,പച്ചക്കറികൾ / ഇലക്കറികൾ,paccakkaṟikaḷ / ilakkaṟikaḷ,,a1
green (unripe),adjective,പച്ച / കായ്ക്കാത്ത,pacca / kāykkātta,,a1
